(20000,0.0222)
(22500,0.0227)
(25000,0.0255)
(27500,0.0283)
(30000,0.0325)
(32000,0.0364)
(35000,0.0400)
(38000,0.0400)
(40000,0.0444)
(45000,0.0534)
(50000,0.0571)
(100000,0.1251)
(150000,0.1916)
(200000,0.2707)
(250000,0.3297)
(300000,0.4208)
(500000,0.7292)
(1000000,1.6169)
(1500000,2.5716)
(2000000,3.7758)
(2500000,4.9557)
(3000000,6.1517)
(3500000,7.3107)
(4000000,8.7373)
(4500000,9.7318)
(5000000,11.2342)
(20000,0.0247)
(22500,0.0277)
(25000,0.0300)
(27500,0.0347)
(30000,0.0380)
(32000,0.0400)
(35000,0.0435)
(38000,0.0476)
(40000,0.0531)
(45000,0.0595)
(50000,0.0673)
(100000,0.1380)
(150000,0.2217)
(200000,0.3047)
(250000,0.3823)
(300000,0.4623)
(500000,0.8007)
(1000000,1.6759)
(1500000,2.6113)
(2000000,3.5528)
(2500000,4.5010)
(3000000,5.4398)
(3500000,6.4491)
(4000000,7.4073)
(4500000,8.4971)
(5000000,9.4374)
(20000,0.0220)
(22500,0.0230)
(25000,0.0280)
(27500,0.0280)
(30000,0.0311)
(32000,0.0346)
(35000,0.0440)
(38000,0.0427)
(40000,0.0438)
(45000,0.0502)
(50000,0.0579)
(100000,0.1263)
(150000,0.2039)
(200000,0.2572)
(250000,0.3278)
(300000,0.3933)
(500000,0.7233)
(1000000,1.6769)
(1500000,2.6530)
(2000000,3.7182)
(2500000,5.0672)
(3000000,6.0185)
(3500000,7.1851)
(4000000,8.5923)
(4500000,10.2839)
(5000000,11.4962)
(20000,0.0244)
(22500,0.0288)
(25000,0.0332)
(27500,0.0359)
(30000,0.0397)
(32000,0.0423)
(35000,0.0454)
(38000,0.0518)
(40000,0.0544)
(45000,0.0766)
(50000,0.0690)
(100000,0.1503)
(150000,0.2306)
(200000,0.3183)
(250000,0.4189)
(300000,0.5299)
(500000,0.8466)
(1000000,1.8166)
(1500000,2.8977)
(2000000,3.7828)
(2500000,4.8933)
(3000000,5.7418)
(3500000,6.6520)
(4000000,7.5296)
(4500000,8.6310)
(5000000,9.6032)
(20000,0.0200)
(22500,0.0232)
(25000,0.0252)
(27500,0.0278)
(30000,0.0330)
(32000,0.0337)
(35000,0.0391)
(38000,0.0441)
(40000,0.0439)
(45000,0.0503)
(50000,0.0581)
(100000,0.1227)
(150000,0.1897)
(200000,0.2662)
(250000,0.3433)
(300000,0.3998)
(500000,0.7375)
(1000000,1.8996)
(1500000,2.6872)
(2000000,3.7669)
(2500000,4.8182)
(3000000,5.9879)
(3500000,7.4869)
(4000000,8.5092)
(4500000,10.0247)
(5000000,11.4835)
(20000,0.0195)
(22500,0.0230)
(25000,0.0260)
(27500,0.0287)
(30000,0.0325)
(32000,0.0343)
(35000,0.0394)
(38000,0.0430)
(40000,0.0450)
(45000,0.0481)
(50000,0.0560)
(100000,0.1231)
(150000,0.1925)
(200000,0.2605)
(250000,0.3543)
(300000,0.4357)
(500000,0.7855)
(1000000,1.6564)
(1500000,2.5988)
(2000000,3.8732)
(2500000,5.7291)
(3000000,6.3522)
(3500000,7.5274)
(4000000,9.4591)
(4500000,9.9823)
(5000000,12.1653)
(20000,0.0254)
(22500,0.0296)
(25000,0.0313)
(27500,0.0357)
(30000,0.0396)
(32000,0.0416)
(35000,0.0460)
(38000,0.0510)
(40000,0.0526)
(45000,0.0600)
(50000,0.0691)
(100000,0.1426)
(150000,0.2244)
(200000,0.3008)
(250000,0.3969)
(300000,0.4924)
(500000,0.8219)
(1000000,1.7436)
(1500000,2.6749)
(2000000,3.6007)
(2500000,4.5855)
(3000000,5.6043)
(3500000,6.7173)
(4000000,7.6653)
(4500000,9.0685)
(5000000,9.6748)
(20000,0.0217)
(22500,0.0228)
(25000,0.0265)
(27500,0.0291)
(30000,0.0308)
(32000,0.0332)
(35000,0.0395)
(38000,0.0405)
(40000,0.0440)
(45000,0.0507)
(50000,0.0580)
(100000,0.1185)
(150000,0.1930)
(200000,0.2675)
(250000,0.3245)
(300000,0.4097)
(500000,0.7414)
(1000000,1.6257)
(1500000,2.7078)
(2000000,3.7759)
(2500000,4.8564)
(3000000,6.5432)
(3500000,7.9109)
(4000000,8.9116)
(4500000,10.8463)
(5000000,12.6839)
(20000,0.0258)
(22500,0.0304)
(25000,0.0332)
(27500,0.0371)
(30000,0.0400)
(32000,0.0424)
(35000,0.0474)
(38000,0.0523)
(40000,0.0549)
(45000,0.0627)
(50000,0.0755)
(100000,0.1459)
(150000,0.2374)
(200000,0.3231)
(250000,0.3943)
(300000,0.4910)
(500000,0.8154)
(1000000,1.7165)
(1500000,2.6867)
(2000000,3.6215)
(2500000,4.6580)
(3000000,5.5920)
(3500000,6.8407)
(4000000,7.9057)
(4500000,8.9814)
(5000000,10.2622)
(20000,0.0329)
(22500,0.0361)
(25000,0.0400)
(27500,0.0445)
(30000,0.0522)
(32000,0.0517)
(35000,0.0580)
(38000,0.0644)
(40000,0.0685)
(45000,0.0767)
(50000,0.0870)
(100000,0.1882)
(150000,0.2911)
(200000,0.3958)
(250000,0.5092)
(300000,0.5920)
(500000,1.0225)
(1000000,2.1977)
(1500000,3.5354)
(2000000,4.8767)
(2500000,6.4783)
(3000000,7.9706)
(3500000,9.2383)
(4000000,10.3737)
(4500000,12.1238)
(5000000,13.2208)
